date,n_vehicles,n_xos_units,full_service_possible,n_full,n_unserved,service_rate_pct,capex_cost,energy_cost,demand_cost,peak_win_cost,total_daily_cost,peak_grid_kw,infra_total_mid,cost_rank,is_worst10
2025-07-21,3,1,False,1,2,33.3,124.35,87.1,17.61,27.18,256.24,83.0,48500,54,False
2025-07-30,4,1,False,1,3,25.0,124.35,83.3,17.61,27.18,252.43,83.0,48500,55,False
2025-12-17,9,1,False,1,8,11.1,124.35,78.43,17.61,27.18,247.57,83.0,48500,56,False
2025-07-15,6,1,False,1,5,16.7,124.35,73.91,17.61,27.18,243.05,83.0,48500,57,False
2025-07-28,7,1,False,1,6,14.3,124.35,71.35,17.61,27.18,240.49,83.0,48500,58,False
2026-03-18,7,1,False,1,6,14.3,124.35,70.86,17.61,27.18,240.0,83.0,48500,59,False
2025-06-16,4,1,False,1,3,25.0,124.35,70.2,17.61,27.18,239.34,83.0,48500,60,False
2025-11-19,9,1,False,3,6,33.3,124.35,68.36,17.61,27.18,237.5,83.0,48500,61,False
2025-10-07,5,1,False,1,4,20.0,124.35,67.28,17.61,27.18,236.42,83.0,48500,62,False
2026-03-12,7,1,False,2,5,28.6,124.35,64.1,17.61,27.18,233.24,83.0,48500,63,False
2025-07-16,4,1,False,1,3,25.0,124.35,61.46,17.61,27.18,230.59,83.0,48500,64,False
2026-04-29,7,1,False,1,6,14.3,124.35,58.39,17.61,27.18,227.53,83.0,48500,65,False
2025-12-30,4,1,False,1,3,25.0,124.35,58.12,17.61,27.18,227.25,83.0,48500,66,False
2026-01-12,4,1,False,1,3,25.0,124.35,57.36,17.61,27.18,226.5,83.0,48500,67,False
2025-08-16,6,1,False,2,4,33.3,124.35,83.43,17.61,0.0,225.39,83.0,48500,68,False
2025-12-19,5,1,False,1,4,20.0,124.35,54.94,17.61,27.18,224.08,83.0,48500,69,False
2025-05-21,4,1,False,1,3,25.0,124.35,53.69,17.61,27.18,222.83,83.0,48500,70,False
2025-12-16,4,1,False,1,3,25.0,124.35,50.0,17.61,27.18,219.14,83.0,48500,71,False
2025-09-22,6,1,False,0,6,0.0,124.35,43.12,17.61,27.18,212.25,83.0,48500,72,False
2025-08-20,6,1,False,1,5,16.7,124.35,39.67,17.61,27.18,208.8,83.0,48500,73,False
2025-10-27,2,1,False,1,1,50.0,124.35,34.3,17.61,27.18,203.44,83.0,48500,74,False
2026-04-01,3,1,False,1,2,33.3,124.35,33.6,17.61,27.18,202.74,83.0,48500,75,False
2025-10-08,7,1,False,0,7,0.0,124.35,33.33,17.61,27.18,202.46,83.0,48500,76,False
2026-01-28,6,1,False,0,6,0.0,124.35,30.29,17.61,27.18,199.43,83.0,48500,77,False
2025-12-15,6,1,False,1,5,16.7,124.35,26.35,17.61,27.18,195.49,83.0,48500,78,False
2026-04-21,6,1,False,2,4,33.3,124.35,24.72,17.61,27.18,193.86,83.0,48500,79,False
2025-09-11,4,1,False,0,4,0.0,124.35,22.51,17.61,27.18,191.64,83.0,48500,80,False
2025-09-10,4,1,False,0,4,0.0,124.35,19.95,17.61,27.18,189.08,83.0,48500,81,False
2025-08-26,7,1,False,1,6,14.3,124.35,42.86,17.61,0.0,184.82,83.0,48500,82,False
2025-06-12,7,1,False,2,5,28.6,124.35,42.86,17.61,0.0,184.82,83.0,48500,83,False
2025-09-08,3,1,False,0,3,0.0,124.35,15.09,17.61,27.18,184.23,83.0,48500,84,False
2025-05-06,3,1,False,0,3,0.0,124.35,14.23,17.61,27.18,183.37,83.0,48500,85,False
2026-02-26,3,1,False,0,3,0.0,124.35,13.71,17.61,27.18,182.85,83.0,48500,86,False
2025-09-23,6,1,False,0,6,0.0,124.35,40.34,17.61,0.0,182.3,83.0,48500,87,False
2025-06-19,7,1,False,0,7,0.0,124.35,38.73,17.61,0.0,180.7,83.0,48500,88,False
2025-05-15,4,1,False,0,4,0.0,124.35,11.04,17.61,27.18,180.17,83.0,48500,89,False
2026-02-02,2,1,False,0,2,0.0,124.35,10.54,17.61,27.18,179.68,83.0,48500,90,False
2025-05-22,2,1,False,0,2,0.0,124.35,10.54,17.61,27.18,179.68,83.0,48500,91,False
2025-11-03,2,1,False,1,1,50.0,124.35,10.44,17.61,27.18,179.58,83.0,48500,92,False
2025-09-15,4,1,False,0,4,0.0,124.35,9.9,17.61,27.18,179.04,83.0,48500,93,False
2025-05-27,5,1,False,1,4,20.0,124.35,8.59,17.61,27.18,177.73,83.0,48500,94,False
2025-09-25,6,1,False,0,6,0.0,124.35,35.44,17.61,0.0,177.41,83.0,48500,95,False
2025-06-18,9,1,False,0,9,0.0,124.35,35.44,17.61,0.0,177.41,83.0,48500,96,False
2025-11-18,8,1,False,1,7,12.5,124.35,33.66,17.61,0.0,175.63,83.0,48500,97,False
2026-01-20,7,1,False,0,7,0.0,124.35,32.6,17.61,0.0,174.56,83.0,48500,98,False
2025-08-08,3,1,False,0,3,0.0,124.35,4.86,17.61,27.18,174.0,83.0,48500,99,False
2025-09-05,1,1,False,0,1,0.0,124.35,4.86,17.61,27.18,174.0,83.0,48500,100,False
2026-01-08,6,1,False,0,6,0.0,124.35,31.54,17.61,0.0,173.5,83.0,48500,101,False
2025-12-02,6,1,False,1,5,16.7,124.35,31.04,17.61,0.0,173.0,83.0,48500,102,False
2025-06-26,10,1,False,2,8,20.0,124.35,30.25,17.61,0.0,172.22,83.0,48500,103,False
2025-10-16,1,1,False,0,1,0.0,124.35,3.06,17.61,27.18,172.2,83.0,48500,104,False
2025-05-05,3,1,False,0,3,0.0,124.35,3.06,17.61,27.18,172.2,83.0,48500,105,False
2025-10-29,1,1,False,0,1,0.0,124.35,3.06,17.61,27.18,172.2,83.0,48500,106,False
2026-02-12,5,1,False,0,5,0.0,124.35,30.02,17.61,0.0,171.98,83.0,48500,107,False
2026-01-07,7,1,False,1,6,14.3,124.35,29.07,17.61,0.0,171.03,83.0,48500,108,False
2026-02-17,6,1,False,1,5,16.7,124.35,29.07,17.61,0.0,171.03,83.0,48500,109,False
2026-01-22,4,1,False,0,4,0.0,124.35,28.07,17.61,0.0,170.03,83.0,48500,110,False
2025-07-31,6,1,False,0,6,0.0,124.35,28.03,17.61,0.0,169.99,83.0,48500,111,False
2025-09-16,5,1,False,0,5,0.0,124.35,28.03,17.61,0.0,169.99,83.0,48500,112,False
2026-03-02,7,1,False,1,6,14.3,124.35,27.85,17.61,0.0,169.82,83.0,48500,113,False
2025-06-02,5,1,False,1,4,20.0,124.35,27.41,17.61,0.0,169.37,83.0,48500,114,False
2026-01-26,6,1,False,0,6,0.0,124.35,27.23,17.61,0.0,169.19,83.0,48500,115,False
2026-03-17,8,1,False,1,7,12.5,124.35,27.23,17.61,0.0,169.19,83.0,48500,116,False
2026-01-27,4,1,False,0,4,0.0,124.35,27.07,17.61,0.0,169.04,83.0,48500,117,False
2026-04-13,5,1,False,1,4,20.0,124.35,26.68,17.61,0.0,168.64,83.0,48500,118,False
2026-04-27,7,1,False,0,7,0.0,124.35,26.23,17.61,0.0,168.19,83.0,48500,119,False
2025-08-02,6,1,False,0,6,0.0,124.35,25.51,17.61,0.0,167.47,83.0,48500,120,False
2025-12-09,4,1,False,0,4,0.0,124.35,25.49,17.61,0.0,167.45,83.0,48500,121,False
2025-12-12,6,1,False,0,6,0.0,124.35,25.38,17.61,0.0,167.35,83.0,48500,122,False
2026-03-05,4,1,False,0,4,0.0,124.35,25.38,17.61,0.0,167.35,83.0,48500,123,False
2026-02-04,5,1,False,1,4,20.0,124.35,25.38,17.61,0.0,167.35,83.0,48500,124,False
2025-09-24,5,1,False,0,5,0.0,124.35,25.36,17.61,0.0,167.32,83.0,48500,125,False
2025-06-27,4,1,False,1,3,25.0,124.35,25.21,17.61,0.0,167.17,83.0,48500,126,False
2026-02-19,6,1,False,0,6,0.0,124.35,24.38,17.61,0.0,166.35,83.0,48500,127,False
2025-11-13,4,1,False,1,3,25.0,124.35,24.15,17.61,0.0,166.12,83.0,48500,128,False
2025-05-28,4,1,False,1,3,25.0,124.35,23.7,17.61,0.0,165.66,83.0,48500,129,False
2026-01-06,5,1,False,1,4,20.0,124.35,23.5,17.61,0.0,165.46,83.0,48500,130,False
2025-06-28,3,1,False,0,3,0.0,124.35,22.98,17.61,0.0,164.95,83.0,48500,131,False
2025-08-21,5,1,False,1,4,20.0,124.35,22.84,17.61,0.0,164.8,83.0,48500,132,False
2025-06-09,5,1,False,1,4,20.0,124.35,22.76,17.61,0.0,164.73,83.0,48500,133,False
2025-11-24,4,1,False,0,4,0.0,124.35,22.72,17.61,0.0,164.68,83.0,48500,134,False
2025-06-30,7,1,False,1,6,14.3,124.35,22.69,17.61,0.0,164.65,83.0,48500,135,False
2026-02-25,5,1,False,0,5,0.0,124.35,22.61,17.61,0.0,164.57,83.0,48500,136,False
2025-10-13,5,1,False,0,5,0.0,124.35,21.81,17.61,0.0,163.77,83.0,48500,137,False
2025-12-04,4,1,False,0,4,0.0,124.35,21.81,17.61,0.0,163.77,83.0,48500,138,False
2026-03-26,6,1,False,0,6,0.0,124.35,21.81,17.61,0.0,163.77,83.0,48500,139,False
2026-01-14,5,1,False,0,5,0.0,124.35,21.7,17.61,0.0,163.66,83.0,48500,140,False
2026-01-13,5,1,False,1,4,20.0,124.35,21.7,17.61,0.0,163.66,83.0,48500,141,False
2025-12-11,3,1,False,1,2,33.3,124.35,21.66,17.61,0.0,163.62,83.0,48500,142,False
2025-11-04,4,1,False,0,4,0.0,124.35,21.48,17.61,0.0,163.44,83.0,48500,143,False
2026-02-23,3,1,False,0,3,0.0,124.35,20.74,17.61,0.0,162.71,83.0,48500,144,False
2025-06-10,4,1,False,3,1,75.0,124.35,20.56,17.61,0.0,162.52,83.0,48500,145,False
2025-09-17,5,1,False,0,5,0.0,124.35,20.32,17.61,0.0,162.28,83.0,48500,146,False
2025-07-29,5,1,False,1,4,20.0,124.35,20.32,17.61,0.0,162.28,83.0,48500,147,False
2025-11-06,3,1,False,0,3,0.0,124.35,19.96,17.61,0.0,161.93,83.0,48500,148,False
2026-01-15,4,1,False,0,4,0.0,124.35,19.96,17.61,0.0,161.93,83.0,48500,149,False
2026-02-10,4,1,False,0,4,0.0,124.35,19.96,17.61,0.0,161.93,83.0,48500,150,False
2025-10-06,5,1,False,0,5,0.0,124.35,19.96,17.61,0.0,161.93,83.0,48500,151,False
2026-02-09,4,1,False,0,4,0.0,124.35,19.96,17.61,0.0,161.93,83.0,48500,152,False
2026-03-03,5,1,False,0,5,0.0,124.35,19.86,17.61,0.0,161.82,83.0,48500,153,False
2026-02-24,5,1,False,0,5,0.0,124.35,19.86,17.61,0.0,161.82,83.0,48500,154,False
2026-03-04,6,1,False,0,6,0.0,124.35,19.86,17.61,0.0,161.82,83.0,48500,155,False
2025-05-29,4,1,False,1,3,25.0,124.35,18.43,17.61,0.0,160.39,83.0,48500,156,False
2025-12-20,4,1,False,0,4,0.0,124.35,18.36,17.61,0.0,160.32,83.0,48500,157,False
2026-01-29,5,1,False,0,5,0.0,124.35,18.01,17.61,0.0,159.98,83.0,48500,158,False
2025-12-10,3,1,False,0,3,0.0,124.35,18.01,17.61,0.0,159.98,83.0,48500,159,False
2025-08-25,4,1,False,1,3,25.0,124.35,17.53,17.61,0.0,159.49,83.0,48500,160,False
2026-01-16,4,1,False,0,4,0.0,124.35,17.19,17.61,0.0,159.15,83.0,48500,161,False
2025-08-11,4,1,False,1,3,25.0,124.35,16.9,17.61,0.0,158.86,83.0,48500,162,False
2025-10-04,4,1,False,0,4,0.0,124.35,16.8,17.61,0.0,158.76,83.0,48500,163,False
2025-11-25,3,1,False,1,2,33.3,124.35,16.77,17.61,0.0,158.73,83.0,48500,164,False
2025-10-20,3,1,False,0,3,0.0,124.35,16.69,17.61,0.0,158.65,83.0,48500,165,False
2026-01-21,4,1,False,0,4,0.0,124.35,16.17,17.61,0.0,158.13,83.0,48500,166,False
2025-06-06,4,1,False,0,4,0.0,124.35,15.27,17.61,0.0,157.24,83.0,48500,167,False
2025-06-23,4,1,False,0,4,0.0,124.35,15.27,17.61,0.0,157.24,83.0,48500,168,False
2025-08-04,4,1,False,0,4,0.0,124.35,15.27,17.61,0.0,157.24,83.0,48500,169,False
2025-07-10,4,1,False,0,4,0.0,124.35,15.13,17.61,0.0,157.09,83.0,48500,170,False
2025-12-23,5,1,False,0,5,0.0,124.35,14.74,17.61,0.0,156.7,83.0,48500,171,False
2026-01-09,3,1,False,0,3,0.0,124.35,14.33,17.61,0.0,156.29,83.0,48500,172,False
2025-05-16,4,1,False,0,4,0.0,124.35,14.33,17.61,0.0,156.29,83.0,48500,173,False
2025-12-29,3,1,False,1,2,33.3,124.35,14.33,17.61,0.0,156.29,83.0,48500,174,False
2025-12-31,4,1,False,0,4,0.0,124.35,14.33,17.61,0.0,156.29,83.0,48500,175,False
2025-06-05,5,1,False,1,4,20.0,124.35,13.78,17.61,0.0,155.74,83.0,48500,176,False
2025-10-02,4,1,False,0,4,0.0,124.35,13.01,17.61,0.0,154.97,83.0,48500,177,False
