date,n_vehicles,n_xos_units,full_service_possible,n_full,n_unserved,service_rate_pct,capex_cost,energy_cost,demand_cost,peak_win_cost,total_daily_cost,peak_grid_kw,infra_total_mid,cost_rank,is_worst10
2026-03-10,22,3,False,10,12,45.5,351.14,288.61,35.22,54.35,729.32,166.0,65500,151,False
2026-01-26,21,3,False,7,14,33.3,351.14,243.64,52.83,81.53,729.14,249.0,65500,152,False
2026-02-23,18,3,False,7,11,38.9,351.14,236.43,52.83,81.53,721.93,249.0,65500,153,False
2025-08-01,11,3,False,4,7,36.4,351.14,233.87,52.83,81.53,719.37,249.0,65500,154,False
2025-11-12,22,3,False,4,18,18.2,351.14,232.14,52.83,81.53,717.64,249.0,65500,155,False
2025-08-22,16,3,False,7,9,43.8,351.14,228.84,52.83,81.53,714.34,249.0,65500,156,False
2026-01-09,19,4,False,5,14,26.3,464.54,139.94,70.44,37.05,711.97,332.0,74000,157,False
2026-04-29,19,3,False,5,14,26.3,351.14,224.55,52.83,81.53,710.04,249.0,65500,158,False
2026-03-23,27,3,False,6,21,22.2,351.14,223.13,52.83,81.53,708.63,249.0,65500,159,False
2026-02-04,17,3,False,4,13,23.5,351.14,222.19,52.83,81.53,707.69,249.0,65500,160,False
2026-01-21,25,3,False,6,19,24.0,351.14,220.35,52.83,81.53,705.85,249.0,65500,161,False
2026-03-13,19,3,False,5,14,26.3,351.14,218.86,52.83,81.53,704.36,249.0,65500,162,False
2026-02-10,25,3,False,5,20,20.0,351.14,217.59,52.83,81.53,703.09,249.0,65500,163,False
2025-07-25,18,3,False,6,12,33.3,351.14,243.75,52.83,54.35,702.07,249.0,65500,164,False
2025-10-29,25,3,False,7,18,28.0,351.14,212.2,52.83,81.53,697.7,249.0,65500,165,False
2025-11-04,26,3,False,6,20,23.1,351.14,239.25,52.83,54.35,697.57,249.0,65500,166,False
2025-11-13,19,3,False,6,13,31.6,351.14,206.14,52.83,81.53,691.64,249.0,65500,167,False
2025-11-07,16,3,False,5,11,31.2,351.14,203.1,52.83,81.53,688.59,249.0,65500,168,False
2025-10-09,19,3,False,6,13,31.6,351.14,202.14,52.83,76.57,682.69,249.0,65500,169,False
2026-01-15,22,3,False,4,18,18.2,351.14,194.38,52.83,81.53,679.88,249.0,65500,170,False
2025-11-24,20,3,False,2,18,10.0,351.14,190.78,52.83,81.53,676.28,249.0,65500,171,False
2026-02-18,18,3,False,6,12,33.3,351.14,209.67,52.83,54.35,667.99,249.0,65500,172,False
2025-05-27,23,3,False,8,15,34.8,351.14,181.19,52.83,81.53,666.69,249.0,65500,173,False
2025-09-05,16,3,False,5,11,31.2,351.14,175.09,52.83,81.53,660.58,249.0,65500,174,False
2026-02-17,16,3,False,4,12,25.0,351.14,201.9,52.83,54.35,660.22,249.0,65500,175,False
2025-06-27,18,3,False,5,13,27.8,351.14,215.42,35.22,54.35,656.13,166.0,65500,176,False
2025-11-21,15,3,False,8,7,53.3,351.14,166.58,52.83,81.53,652.07,249.0,65500,177,False
2026-01-23,16,3,False,7,9,43.8,351.14,164.21,52.83,81.53,649.71,249.0,65500,178,False
2026-02-20,14,3,False,4,10,28.6,351.14,163.42,52.83,81.53,648.92,249.0,65500,179,False
2026-04-24,16,3,False,5,11,31.2,351.14,189.53,52.83,54.35,647.85,249.0,65500,180,False
2025-11-03,18,3,False,4,14,22.2,351.14,181.06,52.83,57.52,642.55,249.0,65500,181,False
2025-09-04,17,3,False,2,15,11.8,351.14,156.54,52.83,81.53,642.04,249.0,65500,182,False
2025-08-04,19,2,False,6,13,31.6,237.75,306.68,35.22,54.35,634.0,166.0,57000,183,False
2025-07-22,24,2,False,9,15,37.5,237.75,300.34,35.22,54.35,627.66,166.0,57000,184,False
2025-11-14,11,3,False,3,8,27.3,351.14,141.97,52.83,81.53,627.47,249.0,65500,185,False
2025-10-24,13,3,False,5,8,38.5,351.14,137.47,52.83,81.53,622.97,249.0,65500,186,False
2025-10-10,11,3,False,3,8,27.3,351.14,159.99,52.83,54.35,618.32,249.0,65500,187,False
2025-10-17,14,4,False,6,8,42.9,464.54,99.76,52.83,0.0,617.13,249.0,74000,188,False
2025-10-03,11,3,False,4,7,36.4,351.14,128.18,52.83,81.53,613.68,249.0,65500,189,False
2025-12-31,13,3,False,9,4,69.2,351.14,126.62,52.83,81.53,612.12,249.0,65500,190,False
2025-07-23,24,2,False,8,16,33.3,237.75,283.16,35.22,54.35,610.48,166.0,57000,191,False
2025-09-15,42,2,False,5,37,11.9,237.75,305.15,35.22,27.18,605.29,166.0,57000,192,False
2025-07-31,27,2,False,4,23,14.8,237.75,300.23,35.22,27.18,600.37,166.0,57000,193,False
2026-02-27,13,3,False,4,9,30.8,351.14,133.56,52.83,60.69,598.22,249.0,65500,194,False
2025-05-02,11,3,False,4,7,36.4,351.14,112.39,52.83,81.53,597.89,249.0,65500,195,False
2025-06-02,19,2,False,6,13,31.6,237.75,261.4,35.22,54.35,588.72,166.0,57000,196,False
2025-12-19,13,3,False,3,10,23.1,351.14,135.22,52.83,45.8,585.0,249.0,65500,197,False
2026-03-26,20,3,False,2,18,10.0,351.14,96.86,52.83,81.53,582.36,249.0,65500,198,False
2025-09-27,16,3,False,4,12,25.0,351.14,184.76,35.22,0.0,571.12,166.0,65500,199,False
2025-08-19,23,2,False,6,17,26.1,237.75,238.26,35.22,54.35,565.57,166.0,57000,200,False
2026-03-27,13,3,False,1,12,7.7,351.14,79.38,52.83,81.53,564.87,249.0,65500,201,False
2025-08-23,11,3,False,4,7,36.4,351.14,150.63,52.83,0.0,554.6,249.0,65500,202,False
2026-04-11,7,3,False,5,2,71.4,351.14,152.49,35.22,0.0,538.86,166.0,65500,203,False
2025-11-18,22,2,False,3,19,13.6,237.75,207.63,35.22,54.35,534.95,166.0,57000,204,False
2025-07-11,12,2,False,4,8,33.3,237.75,203.5,35.22,54.35,530.82,166.0,57000,205,False
2026-04-17,12,3,False,4,8,33.3,351.14,140.59,35.22,1.81,528.76,166.0,65500,206,False
2025-08-08,13,2,False,5,8,38.5,237.75,200.91,35.22,54.35,528.23,166.0,57000,207,False
2025-10-23,28,2,False,4,24,14.3,237.75,194.25,35.22,54.35,521.57,166.0,57000,208,False
2025-12-30,28,2,False,4,24,14.3,237.75,185.5,35.22,54.35,512.82,166.0,57000,209,False
2025-08-29,12,2,False,3,9,25.0,237.75,183.86,35.22,54.35,511.17,166.0,57000,210,False
2026-01-07,25,2,False,6,19,24.0,237.75,183.82,35.22,54.35,511.13,166.0,57000,211,False
2026-04-23,27,2,False,5,22,18.5,237.75,171.04,35.22,54.35,498.36,166.0,57000,212,False
2026-04-06,19,2,False,5,14,26.3,237.75,194.73,35.22,27.18,494.88,166.0,57000,213,False
2026-01-16,18,2,False,7,11,38.9,237.75,164.31,35.22,54.35,491.63,166.0,57000,214,False
2026-03-11,20,2,False,4,16,20.0,237.75,164.28,35.22,54.35,491.6,166.0,57000,215,False
2025-11-20,16,2,False,5,11,31.2,237.75,164.24,35.22,54.35,491.55,166.0,57000,216,False
2025-12-16,32,2,False,5,27,15.6,237.75,189.68,35.22,27.18,489.82,166.0,57000,217,False
2026-02-02,15,2,False,4,11,26.7,237.75,160.95,35.22,54.35,488.27,166.0,57000,218,False
2025-10-15,18,2,False,2,16,11.1,237.75,160.28,35.22,54.35,487.6,166.0,57000,219,False
2026-03-03,17,2,False,3,14,17.6,237.75,155.36,35.22,54.35,482.67,166.0,57000,220,False
2025-05-30,14,2,False,5,9,35.7,237.75,143.57,35.22,54.35,470.89,166.0,57000,221,False
2025-09-02,16,2,False,4,12,25.0,237.75,112.83,35.22,54.35,440.15,166.0,57000,222,False
2025-09-13,14,2,False,3,11,21.4,237.75,166.64,35.22,0.0,439.6,166.0,57000,223,False
2026-01-30,11,2,False,3,8,27.3,237.75,99.3,35.22,37.05,409.32,166.0,57000,224,False
2025-11-10,11,2,False,1,10,9.1,237.75,70.4,35.22,54.35,397.71,166.0,57000,225,False
2025-12-25,8,2,False,2,6,25.0,237.75,93.64,35.22,27.18,393.78,166.0,57000,226,False
2025-09-14,9,2,False,2,7,22.2,237.75,120.02,35.22,0.0,392.99,166.0,57000,227,False
2025-11-15,8,2,False,2,6,25.0,237.75,111.96,35.22,0.0,384.92,166.0,57000,228,False
2025-06-13,8,2,False,2,6,25.0,237.75,72.15,35.22,27.18,372.29,166.0,57000,229,False
2025-09-19,14,2,False,3,11,21.4,237.75,84.54,35.22,0.0,357.51,166.0,57000,230,False
